2014
Eugene Chiang - Astronomy and Earth & Planetary Science
Munis Faruqui - South & Southeast Asian Studies
Ron Hassner - Political Science
2013
Ula Taylor - African American Studies
Terry Johnson - Bioengineering
Timothy Hampton - Comparative Literature
Darcy Grimaldo Grigsby - History Of Art
Rauri Bowie - Integrative Biology
2012
David Sklansky - Law
Joanna Picciotto - English
Edward Miguel - Economics
Sally Goldman - South and Southeast Asian Studies
Debarati Sanyal - French
2011
Kent Puckett - English
Phillip Geissler - Chemistry
Robin Einhorn - History
2010
Dan Klein - Electrical Engineering and Computer Sciences
Juan Pestana-Nascimento - Civil And Environmental Engineering
Line Mikkelsen - Linguistics
Teck-Hua Ho - Haas School Of Business
2009
Andrew Stewart - History Of Art
Goodwin Liu - Law
Matthew B. Francis - Chemistry
Max Auffhammer - Agricultural & Resource Economics
Mitchell Robert Breitwieser - English
2008
Kaja Silverman - Rhetoric
Karl Britto - French
Nezar Alsayyad - Architecture
Stefano Dellavigna - Economics
2007
Andrew Garrett - Linguistics
Eileen Lacey - Integrative Biology
Kathleen Mccarthy - Classics And Comparative Literature
Steven Goldsmith - English
2006
Ananya Roy - City And Regional Planning
Ani Adhikari - Statistics
David Wagner - Electrical Engineering and Computer Sciences
2005
Kevis Goodman - English
2004
F. Michael Christ - Mathematics
H. Mack Horton - East Asian Languages And Cultures
Hubert Dreyfus - Philosophy
Linda Williams - Film Studies
Bob Jacobsen - Physics
2003
Glynda Hull - Graduate School Of Education
Jeffrey A. Reimer - Chemical Engineering
Martha L. Olney - Economics
2002
Jeffrey Knapp - English
Leslie Kurke - Classics And Comparative Literature
Stephen Welter - Environmental Science Policy and Management
Tyrone Hayes - Integrative Biology
Usha Rani Jain - South and Southeast Asian Studies
2001
Carolyn Bertozzi - Chemistry
Ron Gronsky - Materials Science & Engineering
Sara Beckman - Haas School Of Business
Seda Chavdarian - French
2000
Claire Kramsch - German
Eleanor Swift - Law
Nilabh Shastri - Molecular & Cell Biology
1999
Anil K. Chopra - Civil Engineering
John R. Searle - Philosophy
Oliver M. O Reilly - Mechanical Engineering
1999
Richard A. Muller - Physics
1998
Ann Haas Dyson - Education
Donald Friedman - English
Jesse Choper - Law
Patricia Jane Hammons - College Writing Program
Richard Lyons - Haas School Of Business
1997
Chenming Hu - Electrical Engineering and Computer Sciences
Deborah Nolan - Statistics
Elizabeth Abel - English
Jasper Rine - Molecular & Cell Biology
Pedro A. Noguera - Graduate School Of Education
1996
Robert J. Full - Integrative Biology
Robert Middlekauff - History
Kameshwar Poolla - Mechanical Engineering
Lewis J. Feldman - Plant and Microbial Biology
Rhona S. Weinstein - Psychology
1995
Andrew Packard - Mechanical Engineering
Brian Harvey - Electrical Engineering and Computer Sciences
Gary L. Firestone - Molecular & Cell Biology
Rachel F. Moran - Law
Vincent H. Resh - Environmental Science Policy and Management
1994
Alan Dundes - Anthropology
Christina D. Romer - Economics
Clayton J. Radke - Chemical Engineering
Kathleen Moran - Undergraduate and Interdisciplinary Studies
1993
Geoffrey Keppel - Psychology
Harry W. Greene - Integrative Biology
Julian Boyd - English
William A. Fletcher - Law
1992
Arnold Schultz - Environmental Science Policy and Management
David M. Modest - Haas School Of Business
Dennis Lieu - Mechanical Engineering
Randy H. Katz - Electrical Engineering and Computer Sciences
Richard J. Saykally - Chemistry
1991
Alex V. Filippenko - Astronomy
Angelica Stacy - Chemistry
Barbara T. Christian - African American Studies
James L. Patton - Integrative Biology
Joe Mc Bride - Environmental Science Policy and Management
Michael Watts - Geography
1990
Arnold Leiman - Psychology
Frances Sunni Bloland - Human Biodynamics
Melvin A. Eisenberg - Law
Michael Omi - Asian American Studies
Ole H. Hald - Mathematics
1989
Susan Schweik - English
Anthony Newcomb - Music
Earl F. Cheit - Haas School Of Business
Raymond B. Seed - Civil Engineering
1988
Eyvind Wichmann - Physics
J. Keith Gilless - Environmental Science Policy and Management
J. W. Morris - Materials Science & Engineering
Michael Williams - Chemical Engineering
Terry Wilson - Native American Studies
1987
Christina Maslach - Psychology
David K. C. Wood - Center For Theater Arts
Erich Gruen - History
Marc Treib - Architecture
Robert Berring - Law
1986
Alexander Pines - Chemistry
1986
Janet Adelman - English
Mark Griffith - Classics And Comparative Literature
Richard M. Karp - Electrical Engineering and Computer Sciences
Svetlana Alpers - History Of Art
Alexander Pines - Chemistry
Donald Hanson - Chemical Engineering
1985
Arthur Quinn - Rhetoric
David Littlejohn - Journalism
Frederick Crews - English
James Cahill - History Of Art
John Ousterhout - Electrical Engineering and Computer Sciences
M. Frances Van Loo - Haas School Of Business
1984
Arnold Meltsner - Public Policy
Frank Pitelka - Integrative Biology
James Gordley - Law
Norman Rabkin - English
Stephen K. Tollefson - College Writing Program
1983
Caleb Foote - Law
John Clarke - Physics
Kenneth Jowitt - Political Science
Marjorie Shultz - Law
Philip Cowan - Psychology
Stephen Greenblatt - English
Steven Selvin - Public Health
1982
David Kirp - Public Policy
David Patterson - Electrical Engineering and Computer Sciences
Hanna Pitkin - Political Science
Howell Daly - Environmental Science Policy and Management
James Deetz - Anthropology
Laura D Andrea Tyson - Economics
Stephen Booth - English
1981
James Matisoff - Linguistics
John Gaustad - Astronomy
Joseph Pratt - Business Administration
Ronald Takaki - Asian American Studies
William Reeves - Public Health
Alberto Sangiovanni-Vincentelli - Electrical Engineering and Computer Sciences
1980
Anne Middleton - English
Lee Friedman - Public Policy
Richard Sutch - Economics
Sumner Davis - Physics
Timothy Crichfield - Business Administration
1979
Andrew Shogan - Haas School Of Business
