Chang-Lin Tien,1962
Daniel Heartz,1962
Herma Hill Kay,1962
Jesse Sawyer,1962
Mark Christensen,1962
Richard Eakin,1962
James Vance,1961
Ronald Stark,1961
Stanley Cavell,1961
Tom Cornsweet,1961
Bruce Mahan,1961
Frederick Sherman,1961
John Schaar,1960
Lawrence Moe,1960
Robert Steidel,1960
Sho Sato,1960
Hanan Selvin,1959
Paul Zinke,1959
William Brinner,1959
William Jensen,1959
