Christina Maslach,1987,Distinguished Teaching Award
David K. C. Wood,1987,Distinguished Teaching Award
Erich Gruen,1987,Distinguished Teaching Award
Marc Treib,1987,Distinguished Teaching Award
Robert Berring,1987,Distinguished Teaching Award
Janet Adelman,1986,Distinguished Teaching Award
Mark Griffith,1986,Distinguished Teaching Award
Richard M. Karp,1986,Distinguished Teaching Award
Svetlana Alpers,1986,Distinguished Teaching Award
Alexander Pines,1986,Distinguished Teaching Award
Donald Hanson,1986,Distinguished Teaching Award
Arthur Quinn,1985,Distinguished Teaching Award
David Littlejohn,1985,Distinguished Teaching Award
Frederick Crews,1985,Distinguished Teaching Award
James Cahill,1985,Distinguished Teaching Award
John Ousterhout,1985,Distinguished Teaching Award
M. Frances Van Loo,1985,Distinguished Teaching Award
Arnold Meltsner,1984,Distinguished Teaching Award
Frank Pitelka,1984,Distinguished Teaching Award
James Gordley,1984,Distinguished Teaching Award
Norman Rabkin,1984,Distinguished Teaching Award
Stephen K. Tollefson,1984,Distinguished Teaching Award
Caleb Foote,1983,Distinguished Teaching Award
John Clarke,1983,Distinguished Teaching Award
Kenneth Jowitt,1983,Distinguished Teaching Award
Marjorie Shultz,1983,Distinguished Teaching Award
Philip Cowan,1983,Distinguished Teaching Award
Stephen Greenblatt,1983,Distinguished Teaching Award
Steven Selvin,1983,Distinguished Teaching Award
David Kirp,1982,Distinguished Teaching Award
David A. Patterson,1982,Distinguished Teaching Award
Hanna Pitkin,1982,Distinguished Teaching Award
Howell Daly,1982,Distinguished Teaching Award
James Deetz,1982,Distinguished Teaching Award
Laura D Andrea Tyson,1982,Distinguished Teaching Award
Stephen Booth,1982,Distinguished Teaching Award
James Matisoff,1981,Distinguished Teaching Award
John Gaustad,1981,Distinguished Teaching Award
Joseph Pratt,1981,Distinguished Teaching Award
Ronald Takaki,1981,Distinguished Teaching Award
William Reeves,1981,Distinguished Teaching Award
Alberto Sangiovanni-Vincentelli,1981,Distinguished Teaching Award
Anne Middleton,1980,Distinguished Teaching Award
Lee Friedman,1980,Distinguished Teaching Award
Richard Sutch,1980,Distinguished Teaching Award
Sumner Davis,1980,Distinguished Teaching Award
Timothy Crichfield,1980,Distinguished Teaching Award
Andrew Shogan,1979,Distinguished Teaching Award
Eugene D. Commins,1979,Distinguished Teaching Award
Hugh Macrae Richmond,1979,Distinguished Teaching Award
Masao Miyoshi,1979,Distinguished Teaching Award
Michael Burawoy,1979,Distinguished Teaching Award
Michael Senturia,1979,Distinguished Teaching Award
David Lyon,1978,Distinguished Teaching Award
Genevieve Oxley,1978,Distinguished Teaching Award
Gerald Mendelsohn,1978,Distinguished Teaching Award
Josephine Miles,1978,Distinguished Teaching Award
Richard Bagozzi,1978,Distinguished Teaching Award
Sucheng Chan,1978,Distinguished Teaching Award
Manuel Blum,1977,Distinguished Teaching Award
Raymond Lifchez,1977,Distinguished Teaching Award
Ulrich Knoepflmacher,1977,Distinguished Teaching Award
Egor Popov,1977,Distinguished Teaching Award
Forrest Mozer,1977,Distinguished Teaching Award
Lynn Hunt,1977,Distinguished Teaching Award
Donald R. Kaplan,1976,Distinguished Teaching Award
Douglas Powell,1976,Distinguished Teaching Award
H. Bolton Seed,1976,Distinguished Teaching Award
James Champion Stone,1976,Distinguished Teaching Award
Julius Palffy-Alpar,1976,Distinguished Teaching Award
Martin Covington,1976,Distinguished Teaching Award
Ralph W. Rader,1976,Distinguished Teaching Award
Jean Bony,1975,Distinguished Teaching Award
John Holdren,1975,Distinguished Teaching Award
Lawrence Lowery,1975,Distinguished Teaching Award
Marian Diamond,1975,Distinguished Teaching Award
Patrick Duffy,1975,Distinguished Teaching Award
Richard Collier,1975,Distinguished Teaching Award
Stephen Glickman,1975,Distinguished Teaching Award
Douglas Fuerstenau,1974,Distinguished Teaching Award
Edward Snow,1974,Distinguished Teaching Award
Natalie Davis,1974,Distinguished Teaching Award
Nell Altizer,1974,Distinguished Teaching Award
Sam Davis,1973,Distinguished Teaching Award
Charles Keeney,1972,Distinguished Teaching Award
Charles Kittel,1972,Distinguished Teaching Award
Earl Parker,1972,Distinguished Teaching Award
Edwin Lewis,1972,Distinguished Teaching Award
Gardner Stout,1972,Distinguished Teaching Award
Gerard Jian,1972,Distinguished Teaching Award
Howard Bern,1972,Distinguished Teaching Award
Jack London,1972,Distinguished Teaching Award
Paul Alpers,1972,Distinguished Teaching Award
C. D. Mote,1971,Distinguished Teaching Award
Charles Desoer,1971,Distinguished Teaching Award
Frederick Reif,1971,Distinguished Teaching Award
Herbert Baker,1971,Distinguished Teaching Award
John Dorn,1971,Distinguished Teaching Award
Judith Wallerstein,1971,Distinguished Teaching Award
Laura Gould,1971,Distinguished Teaching Award
Leon Litwack,1971,Distinguished Teaching Award
Michael A. Lieberman,1971,Distinguished Teaching Award
Spiro Kostof,1971,Distinguished Teaching Award
Walter Johnson,1971,Distinguished Teaching Award
Bernard Saffran,1964,Distinguished Teaching Award
James Leiby,1964,Distinguished Teaching Award
Paul Piehler,1964,Distinguished Teaching Award
Robert Hughes,1964,Distinguished Teaching Award
Stanley Berger,1964,Distinguished Teaching Award
Eugene Commins,1963,Distinguished Teaching Award
Irving Piliavin,1963,Distinguished Teaching Award
James Mitchell,1963,Distinguished Teaching Award
Paul Bertrand Augst,1963,Distinguished Teaching Award
Ralph Emerson,1963,Distinguished Teaching Award
Richard Peters,1963,Distinguished Teaching Award
Chang-Lin Tien,1962,Distinguished Teaching Award
Daniel Heartz,1962,Distinguished Teaching Award
Herma Hill Kay,1962,Distinguished Teaching Award
Jesse Sawyer,1962,Distinguished Teaching Award
Mark Christensen,1962,Distinguished Teaching Award
Richard Eakin,1962,Distinguished Teaching Award
James Vance,1961,Distinguished Teaching Award
Ronald Stark,1961,Distinguished Teaching Award
Stanley Cavell,1961,Distinguished Teaching Award
Tom Cornsweet,1961,Distinguished Teaching Award
Bruce Mahan,1961,Distinguished Teaching Award
Frederick Sherman,1961,Distinguished Teaching Award
John Schaar,1960,Distinguished Teaching Award
Lawrence Moe,1960,Distinguished Teaching Award
Robert Steidel,1960,Distinguished Teaching Award
Sho Sato,1960,Distinguished Teaching Award
Hanan Selvin,1959,Distinguished Teaching Award
Paul Zinke,1959,Distinguished Teaching Award
